deezer-playlist-id;song;artist;year;genre;deezer-quote;lang
1;Mein Lebensstrahlen;Herbert Grönemeyer;2018;Pop;6.3;de
2;She's Out of My Life;Michael Jackson;1979;Pop;5.52;en
3;Thursday;Jess Glynne;2018;Pop;8.8;en
4;Love Someone;Lukas Graham;2018;Pop;8.71;en
5;Einmal;Mark Forster;2018;Pop;6.86;de
6;Ruin My Life;Zara Larsson;2018;Pop;9.7;en
7;Fly Me To The Moon;Frank Sinatra, Count Basie and his Orchestra;;Jazz;5.28;en
8;Auf uns;Andreas Bourani;2014;;6.07;de
9;A Million Dreams;P!nk;2017;Pop;9.42;en
10;Creep;Radiohead;1993;Alternative/Indie;6.64;en
11;In diesem Moment;Roger Cicero;;Jazz;5.65;de
12;Zusammen feat. Clueso;Die Fantastischen Vier, Clueso;2018;Pop;7.56;de
13;Half As Good As You;Tom Odell, Alice Merton;2018;Singer-Songwriter;6.15;en
14;Moves;Olly Murs, Snoop Dogg;2018;Pop;7.73;en
15;Up;Olly Murs, Demi Lovato;2014;Pop;3.53;en
16;Wrapped Up;Olly Murs, Travie McCoy;2014;Pop;5.96;en
17;Dear Darlin';Olly Murs;2012;Christliche Musik/Gospel, Pop;4.69;en
18;Free Your Mind;En Vogue;1992;;4.62;en
19;Der Weg;Herbert Grönemeyer;2002;Pop;5.48;de
20;Wrecking Ball;Miley Cyrus;2013;Pop;8.7;en
21;Can't Help Falling in Love with You;Elvis Presley;1969;;6.53;en
22;Scars To Your Beautiful;Alessia Cara;2015;Zeitgenössischer R&B;8.25;en
23;Medley: Summer Love / Set the Mood;Justin Timberlake;;;4.86;en
24;Let It Go;James Bay;2015;Singer-Songwriter, Alternative/Indie, Rock;7.32;en
25;California Love;2Pac, Roger Troutman, Dr. Dre;1996;;7.87;en
26;Another Love;Tom Odell;2013;Singer-Songwriter;7.54;en
27;Head Above Water;Avril Lavigne;2019;Pop-Rock, Pop;8.63;en
28;Schön genug;Lina Maly;2016;Pop;5.43;de
29;Crazy;Aerosmith;1993;Rock, Pop;8.13;en
30;Let You Love Me;RITA ORA;2018;Pop;9.85;en
31;When We Were Young;Adele;2015;Soul;8.16;de
32;XO;Beyoncé;2013;Zeitgenössischer R&B;7.43;en
33;Stay;Rihanna, Mikky Ekko;2012;Pop;8.98;en
34;Summer Is a Curse;The FAIM;2018;Alternative/Indie;6.6;en
35;Brand New Me;Alicia Keys;2012;Zeitgenössischer R&B;6.15;en
36;I'm All Over It;Jamie Cullum;2009;Jazz;4.53;en
37;Earned It;The Weeknd;;;9.03;en
38;Tell Me You Love Me;Demi Lovato;2017;Pop;7.83;en
39;Bubbly;Colbie Caillat;2007;Adult Contemporary, Alternative/Indie, Folk, Pop;5.0;it
40;It's A Man's, Man's, Man's World;James Brown;1963;Funk;2.78;en
41;Lady Marmalade;Patti LaBelle;2008;;6.11;en
42;Lovesong;Adele;2011;Pop;6.59;en
43;Breakeven;The Script;2008;Alternative/Indie, Pop;3.68;en
44;No Roots;Alice Merton;2019;Pop;6.32;en
45;Auf anderen Wegen;Andreas Bourani;2014;;3.95;de
46;Who Wants To Live Forever;Queen;1986;Classic Rock, Rock;3.71;en
47;Shotgun;George Ezra;2018;Singer-Songwriter;9.66;de
48;Ain't Nobody;Chaka Khan;1983;Pop;7.28;en
49;Happy Now;ZEDD, Elley Duhe;;;9.65;en
50;With Or Without You;U2;1987;Alternative/Indie, Rock;8.9;en
51;Despacito;Luis Fonsi, Daddy Yankee;2017;Reggaeton, Latin Pop;9.52;en
52;If I Wasn't Your Daughter;Lena;2017;Pop;5.26;en
53;Nutbush City Limits;Ike & Tina Turner;1973;Jazz, Klassischer R&B, Klassischer Soul, Britpop, R&B/Soul, Adult Contemporary, Dance/Electronic, Funk, Rock, Pop;3.54;en
54;She Said;Plan B;2010;Grime;6.17;en
55;Zu dir;LEA;2018;;8.15;de
56;Don't Leave Me Alone;David Guetta, Anne-Marie;;;9.54;en
57;human;Christina Perri;2014;Pop;6.22;en
58;Bye Bye;Cro;2014;Hip-Hop/Rap;6.22;en
